order_id,customer_id,order_date,category,state,city,revenue,items,payment_type
ORD00027,C00362,2022-08-13,Fashion,PR,Curitiba,203.44,4,boleto
ORD00028,C00312,2023-02-20,Books,GO,Goiânia,106.49,3,boleto
ORD00029,C00189,2022-10-07,Fashion,SC,Florianópolis,168.55,3,voucher
ORD00030,C00603,2022-05-24,Toys,MG,Belo Horizonte,242.49,3,voucher
ORD00031,C00454,2023-02-07,Home & Garden,RS,Porto Alegre,263.39,4,credit_card
ORD00032,C00606,2022-12-04,Automotive,ES,Vitória,95.49,3,boleto
ORD00033,C00104,2022-10-25,Health,ES,Vitória,213.9,1,boleto
ORD00034,C00759,2022-10-31,Beauty,PR,Curitiba,354.81,3,credit_card
ORD00035,C00140,2022-08-21,Home & Garden,RS,Porto Alegre,356.53,4,credit_card
ORD00036,C00679,2023-02-24,Sports,MG,Belo Horizonte,158.33,1,debit_card
ORD00037,C00003,2022-06-02,Fashion,RJ,Rio de Janeiro,281.38,4,credit_card
ORD00038,C00008,2022-06-10,Beauty,RS,Porto Alegre,156.09,4,debit_card
ORD00039,C00390,2022-07-14,Electronics,MG,Belo Horizonte,363.98,2,boleto
ORD00040,C00775,2022-02-07,Home & Garden,SC,Florianópolis,363.85,3,boleto
ORD00041,C00204,2022-10-04,Electronics,PR,Curitiba,145.07,4,debit_card
ORD00042,C00010,2023-05-31,Electronics,SP,São Paulo,557.06,2,credit_card
ORD00043,C00698,2022-02-15,Home & Garden,ES,Vitória,381.93,1,credit_card
ORD00044,C00760,2022-10-29,Home & Garden,SP,São Paulo,44.01,1,credit_card
ORD00045,C00127,2022-06-10,Fashion,ES,Vitória,166.96,2,boleto
ORD00046,C00285,2022-11-19,Food & Drink,RJ,Rio de Janeiro,251.78,2,debit_card
ORD00047,C00119,2022-06-04,Health,SP,São Paulo,341.74,1,debit_card
ORD00048,C00144,2022-09-03,Health,BA,Salvador,176.62,2,credit_card
ORD00049,C00696,2023-02-12,Health,BA,Salvador,208.08,1,voucher
ORD00050,C00029,2022-11-17,Home & Garden,BA,Salvador,25.63,2,boleto
ORD00051,C00187,2022-02-20,Toys,PE,Recife,346.26,1,voucher
ORD00052,C00245,2022-02-23,Beauty,SP,São Paulo,333.73,4,voucher
ORD00053,C00183,2022-01-05,Toys,RS,Porto Alegre,173.37,3,debit_card
ORD00054,C00764,2022-09-26,Health,MG,Belo Horizonte,321.15,3,debit_card
ORD00055,C00032,2022-02-27,Beauty,PE,Recife,385.62,3,debit_card
ORD00056,C00427,2023-01-28,Electronics,PE,Recife,514.3,3,boleto
ORD00057,C00260,2022-04-06,Automotive,GO,Goiânia,374.83,1,voucher
ORD00058,C00486,2022-07-08,Beauty,SC,Florianópolis,296.07,3,voucher
ORD00059,C00143,2022-06-03,Beauty,SC,Florianópolis,20.54,2,voucher
ORD00060,C00038,2022-03-10,Sports,PR,Curitiba,197.56,2,boleto
ORD00061,C00569,2023-03-08,Sports,SP,São Paulo,193.9,1,debit_card
ORD00062,C00739,2023-06-06,Sports,RJ,Rio de Janeiro,115.44,2,boleto
ORD00063,C00202,2023-03-18,Food & Drink,PR,Curitiba,278.33,4,voucher
ORD00064,C00371,2022-12-02,Electronics,RS,Porto Alegre,331.18,2,debit_card
ORD00065,C00052,2023-01-15,Home & Garden,PR,Curitiba,255.99,1,credit_card
ORD00066,C00687,2022-06-17,Fashion,MG,Belo Horizonte,253.03,3,credit_card
ORD00067,C00128,2022-03-31,Health,PE,Recife,23.96,2,debit_card
ORD00068,C00432,2022-07-15,Fashion,GO,Goiânia,298.0,1,credit_card
ORD00069,C00170,2023-01-29,Food & Drink,MG,Belo Horizonte,396.34,4,voucher
ORD00070,C00137,2022-04-06,Beauty,SP,São Paulo,276.74,3,credit_card
ORD00071,C00242,2022-09-30,Sports,ES,Vitória,138.22,3,debit_card
ORD00072,C00022,2022-06-26,Automotive,MG,Belo Horizonte,50.15,3,voucher
ORD00073,C00194,2023-01-19,Health,PR,Curitiba,50.31,4,credit_card
ORD00074,C00503,2023-04-14,Books,ES,Vitória,58.68,1,boleto
ORD00075,C00024,2022-07-05,Health,PR,Curitiba,298.76,1,debit_card
ORD00076,C00514,2022-01-09,Electronics,SC,Florianópolis,66.33,1,voucher
ORD00077,C00159,2022-06-19,Health,RJ,Rio de Janeiro,46.32,1,boleto
ORD00078,C00298,2022-12-05,Electronics,SC,Florianópolis,459.1,3,debit_card
ORD00079,C00311,2022-08-05,Sports,SC,Florianópolis,287.65,3,credit_card
ORD00080,C00447,2022-07-01,Health,PE,Recife,142.15,2,debit_card
ORD00081,C00005,2022-06-22,Health,RS,Porto Alegre,60.74,1,debit_card
ORD00082,C00494,2022-12-27,Home & Garden,ES,Vitória,159.33,1,credit_card
ORD00083,C00756,2022-04-27,Beauty,SC,Florianópolis,370.99,4,credit_card
ORD00084,C00435,2022-08-15,Automotive,RJ,Rio de Janeiro,78.99,1,boleto
ORD00085,C00182,2022-05-23,Beauty,SC,Florianópolis,239.96,4,debit_card
ORD00086,C00751,2022-01-12,Food & Drink,SC,Florianópolis,190.43,4,credit_card
ORD00087,C00068,2022-01-08,Sports,PE,Recife,164.48,4,boleto
ORD00088,C00032,2023-06-24,Automotive,RS,Porto Alegre,394.69,2,debit_card
ORD00089,C00112,2022-05-25,Beauty,RS,Porto Alegre,247.07,4,credit_card
ORD00090,C00588,2023-07-01,Fashion,MG,Belo Horizonte,294.4,3,credit_card
ORD00091,C00034,2023-03-26,Fashion,PR,Curitiba,25.15,1,boleto
ORD00092,C00193,2022-03-06,Electronics,PR,Curitiba,425.02,1,boleto
ORD00093,C00026,2023-04-06,Automotive,MG,Belo Horizonte,66.53,1,voucher
ORD00094,C00431,2023-06-02,Beauty,PR,Curitiba,398.71,1,debit_card
ORD00095,C00152,2023-04-03,Beauty,ES,Vitória,64.73,3,credit_card
ORD00096,C00654,2023-03-22,Food & Drink,RJ,Rio de Janeiro,152.89,4,debit_card
ORD00097,C00200,2022-06-03,Toys,SC,Florianópolis,335.08,2,voucher
ORD00098,C00762,2022-02-23,Automotive,SP,São Paulo,66.6,3,debit_card
ORD00099,C00542,2022-07-26,Fashion,MG,Belo Horizonte,362.71,4,voucher
ORD00100,C00308,2022-11-02,Home & Garden,RJ,Rio de Janeiro,149.08,2,credit_card
ORD00101,C00159,2022-12-01,Books,PE,Recife,347.01,1,credit_card
ORD00102,C00712,2022-05-18,Health,SP,São Paulo,114.42,4,credit_card
ORD00103,C00345,2023-06-30,Fashion,MG,Belo Horizonte,221.85,3,debit_card
ORD00104,C00161,2022-04-05,Food & Drink,RS,Porto Alegre,85.02,4,credit_card
ORD00105,C00650,2022-07-14,Fashion,PE,Recife,101.18,1,credit_card
ORD00106,C00112,2023-04-11,Toys,PR,Curitiba,226.26,1,credit_card
ORD00107,C00083,2023-06-08,Fashion,SP,São Paulo,208.82,1,debit_card
ORD00108,C00037,2022-03-14,Automotive,SC,Florianópolis,46.48,2,debit_card
ORD00109,C00025,2022-02-17,Health,RS,Porto Alegre,325.39,1,debit_card
ORD00110,C00784,2022-09-10,Food & Drink,SC,Florianópolis,105.9,4,debit_card
ORD00111,C00186,2022-03-19,Health,GO,Goiânia,66.25,3,debit_card
ORD00112,C00239,2022-12-29,Fashion,PE,Recife,151.35,3,debit_card
ORD00113,C00108,2022-07-11,Beauty,PE,Recife,232.13,1,debit_card
ORD00114,C00131,2022-03-27,Automotive,SP,São Paulo,147.03,1,voucher
ORD00115,C00548,2023-01-29,Fashion,RS,Porto Alegre,221.79,2,debit_card
ORD00116,C00278,2023-01-04,Health,ES,Vitória,144.92,4,boleto
ORD00117,C00285,2022-11-16,Food & Drink,SC,Florianópolis,248.22,1,credit_card
ORD00118,C00062,2022-10-04,Books,RS,Porto Alegre,342.56,2,boleto
ORD00119,C00070,2022-12-16,Books,ES,Vitória,45.89,3,debit_card
ORD00120,C00437,2022-02-09,Food & Drink,SC,Florianópolis,168.17,4,debit_card
ORD00121,C00003,2022-01-04,Toys,SP,São Paulo,203.94,2,debit_card
ORD00122,C00463,2023-03-17,Food & Drink,PE,Recife,122.79,4,credit_card
ORD00123,C00762,2022-11-22,Sports,MG,Belo Horizonte,91.81,4,credit_card
ORD00124,C00046,2022-05-20,Health,SC,Florianópolis,238.78,3,debit_card
ORD00125,C00021,2022-09-16,Fashion,GO,Goiânia,66.75,3,boleto
ORD00126,C00081,2022-06-21,Food & Drink,RJ,Rio de Janeiro,48.83,3,credit_card
ORD00127,C00513,2022-11-25,Food & Drink,SC,Florianópolis,173.56,2,debit_card
ORD00128,C00496,2022-11-14,Fashion,PR,Curitiba,296.38,1,boleto
ORD00129,C00712,2023-07-01,Toys,GO,Goiânia,333.76,1,boleto
ORD00130,C00066,2022-10-18,Beauty,MG,Belo Horizonte,271.1,2,boleto
ORD00131,C00127,2022-05-12,Health,ES,Vitória,277.95,4,debit_card
ORD00132,C00680,2023-06-10,Toys,SP,São Paulo,302.83,3,credit_card
ORD00133,C00680,2022-05-25,Books,RJ,Rio de Janeiro,224.27,4,voucher
ORD00134,C00047,2022-02-08,Toys,MG,Belo Horizonte,256.67,4,boleto
ORD00135,C00067,2023-03-24,Electronics,RS,Porto Alegre,420.65,3,voucher
ORD00136,C00061,2022-06-06,Electronics,PR,Curitiba,440.65,1,boleto
ORD00137,C00284,2022-07-15,Health,PR,Curitiba,352.55,1,boleto
ORD00138,C00152,2022-06-08,Food & Drink,RS,Porto Alegre,167.96,1,voucher
ORD00139,C00195,2022-09-18,Sports,RJ,Rio de Janeiro,19.7,3,debit_card
ORD00140,C00460,2022-10-19,Beauty,RS,Porto Alegre,84.92,2,voucher
ORD00141,C00161,2022-05-14,Health,PE,Recife,240.7,2,boleto
ORD00142,C00041,2023-04-05,Sports,PR,Curitiba,370.16,4,debit_card
ORD00143,C00526,2022-04-16,Health,ES,Vitória,178.29,1,boleto
ORD00144,C00609,2022-10-23,Books,SP,São Paulo,58.6,1,boleto
ORD00145,C00050,2023-02-24,Automotive,SP,São Paulo,349.91,3,debit_card
ORD00146,C00022,2023-03-07,Automotive,PE,Recife,324.1,1,boleto
ORD00147,C00245,2022-09-01,Toys,RJ,Rio de Janeiro,194.29,3,boleto
ORD00148,C00181,2022-12-13,Home & Garden,SC,Florianópolis,82.91,3,voucher
ORD00149,C00698,2023-05-16,Electronics,SC,Florianópolis,139.63,2,credit_card
ORD00150,C00072,2022-02-18,Sports,ES,Vitória,72.24,2,boleto
ORD00151,C00243,2023-04-21,Food & Drink,SP,São Paulo,130.34,4,credit_card
ORD00152,C00171,2022-08-03,Food & Drink,MG,Belo Horizonte,149.51,2,credit_card
ORD00153,C00015,2022-11-01,Food & Drink,MG,Belo Horizonte,40.3,2,debit_card
ORD00154,C00234,2022-06-24,Toys,SP,São Paulo,169.29,2,debit_card
ORD00155,C00635,2022-09-21,Books,MG,Belo Horizonte,158.72,2,debit_card
ORD00156,C00164,2022-06-11,Books,BA,Salvador,75.12,2,debit_card
ORD00157,C00164,2022-12-15,Automotive,BA,Salvador,112.75,3,debit_card
ORD00158,C00042,2022-11-24,Beauty,MG,Belo Horizonte,356.67,4,debit_card
ORD00159,C00040,2022-09-21,Food & Drink,GO,Goiânia,325.64,4,voucher
ORD00160,C00402,2023-05-15,Beauty,BA,Salvador,360.09,3,boleto
ORD00161,C00618,2022-05-31,Home & Garden,RS,Porto Alegre,262.53,2,boleto
ORD00162,C00104,2023-06-07,Fashion,MG,Belo Horizonte,242.26,4,voucher
ORD00163,C00139,2022-09-18,Automotive,RJ,Rio de Janeiro,346.51,3,voucher
ORD00164,C00517,2023-05-21,Food & Drink,SP,São Paulo,349.36,4,debit_card
ORD00165,C00073,2022-05-08,Fashion,MG,Belo Horizonte,212.3,1,voucher
ORD00166,C00162,2022-08-25,Automotive,SC,Florianópolis,263.35,2,voucher
ORD00167,C00681,2023-03-18,Fashion,BA,Salvador,278.03,2,boleto
ORD00168,C00048,2022-05-08,Sports,ES,Vitória,120.51,1,credit_card
ORD00169,C00199,2022-06-02,Books,PR,Curitiba,19.23,1,debit_card
ORD00170,C00649,2022-10-14,Food & Drink,RJ,Rio de Janeiro,246.2,1,credit_card
ORD00171,C00288,2023-03-31,Electronics,PE,Recife,238.96,2,boleto
ORD00172,C00067,2022-05-10,Electronics,MG,Belo Horizonte,69.69,3,boleto
ORD00173,C00156,2022-01-29,Food & Drink,RS,Porto Alegre,291.83,3,voucher
ORD00174,C00740,2022-08-15,Books,GO,Goiânia,375.68,1,voucher
ORD00175,C00108,2022-10-16,Sports,MG,Belo Horizonte,244.11,3,credit_card
ORD00176,C00317,2023-05-22,Fashion,ES,Vitória,311.8,1,credit_card
ORD00177,C00474,2022-10-23,Automotive,GO,Goiânia,182.41,3,debit_card
ORD00178,C00032,2022-05-11,Home & Garden,SC,Florianópolis,242.24,3,credit_card
ORD00179,C00569,2022-02-13,Electronics,SP,São Paulo,533.18,3,credit_card
ORD00180,C00251,2022-01-12,Food & Drink,MG,Belo Horizonte,296.91,1,credit_card
ORD00181,C00431,2023-04-30,Toys,GO,Goiânia,111.12,1,voucher
ORD00182,C00733,2023-05-04,Health,BA,Salvador,399.75,2,credit_card
ORD00183,C00699,2022-03-27,Beauty,BA,Salvador,129.48,4,voucher
ORD00184,C00169,2023-05-13,Fashion,RS,Porto Alegre,340.15,2,debit_card
ORD00185,C00374,2023-05-05,Food & Drink,MG,Belo Horizonte,230.86,1,boleto
ORD00186,C00436,2022-05-11,Food & Drink,PE,Recife,294.04,4,debit_card
ORD00187,C00565,2023-06-11,Sports,SC,Florianópolis,137.72,2,credit_card
ORD00188,C00171,2022-01-16,Fashion,BA,Salvador,192.85,2,boleto
ORD00189,C00650,2022-09-08,Fashion,MG,Belo Horizonte,41.96,2,voucher
ORD00190,C00521,2022-01-29,Beauty,ES,Vitória,238.59,4,debit_card
ORD00191,C00522,2023-01-12,Automotive,BA,Salvador,216.17,1,boleto
ORD00192,C00187,2022-01-03,Food & Drink,RJ,Rio de Janeiro,129.08,2,credit_card
ORD00193,C00008,2023-03-08,Automotive,SP,São Paulo,165.78,4,voucher
ORD00194,C00740,2022-07-06,Beauty,SC,Florianópolis,393.2,3,boleto
ORD00195,C00187,2022-12-10,Fashion,ES,Vitória,301.19,4,debit_card
ORD00196,C00330,2022-11-06,Health,RJ,Rio de Janeiro,162.87,1,credit_card
ORD00197,C00536,2023-05-21,Toys,PR,Curitiba,37.27,3,debit_card
ORD00198,C00714,2023-06-05,Health,SP,São Paulo,81.95,2,debit_card
ORD00199,C00796,2022-03-03,Home & Garden,MG,Belo Horizonte,101.41,4,credit_card
ORD00200,C00312,2022-03-30,Beauty,RJ,Rio de Janeiro,191.11,4,debit_card
ORD00201,C00667,2023-06-25,Automotive,RJ,Rio de Janeiro,346.92,1,debit_card
ORD00202,C00718,2022-02-09,Fashion,GO,Goiânia,112.27,2,voucher
ORD00203,C00469,2022-09-08,Health,RJ,Rio de Janeiro,46.2,4,voucher
ORD00204,C00199,2022-04-24,Home & Garden,PE,Recife,234.96,4,boleto
ORD00205,C00279,2022-02-09,Electronics,SC,Florianópolis,301.96,4,voucher
ORD00206,C00621,2022-04-02,Automotive,ES,Vitória,373.08,4,debit_card
ORD00207,C00076,2023-02-26,Beauty,PE,Recife,194.21,3,debit_card
ORD00208,C00052,2023-03-02,Beauty,BA,Salvador,76.89,4,boleto
ORD00209,C00003,2023-06-08,Electronics,ES,Vitória,361.55,3,boleto
ORD00210,C00248,2023-03-24,Home & Garden,SC,Florianópolis,124.09,3,boleto
ORD00211,C00756,2022-08-21,Beauty,SC,Florianópolis,375.83,4,voucher
ORD00212,C00737,2022-08-30,Electronics,SC,Florianópolis,402.92,2,credit_card
ORD00213,C00346,2022-01-22,Fashion,RJ,Rio de Janeiro,396.21,3,credit_card
ORD00214,C00314,2022-08-15,Books,SP,São Paulo,139.59,3,voucher
ORD00215,C00420,2023-04-04,Health,RJ,Rio de Janeiro,120.35,1,voucher
ORD00216,C00181,2022-04-09,Books,BA,Salvador,332.98,3,voucher
ORD00217,C00528,2022-05-10,Sports,SC,Florianópolis,65.56,3,credit_card
ORD00218,C00061,2023-01-17,Beauty,PR,Curitiba,260.83,2,debit_card
ORD00219,C00781,2023-03-29,Electronics,PE,Recife,502.92,3,boleto
ORD00220,C00013,2022-06-12,Automotive,GO,Goiânia,156.88,3,voucher
ORD00221,C00252,2022-07-27,Automotive,SP,São Paulo,50.1,4,debit_card
ORD00222,C00614,2022-01-27,Sports,BA,Salvador,256.09,4,voucher
ORD00223,C00706,2023-06-20,Home & Garden,RS,Porto Alegre,321.67,1,boleto
ORD00224,C00318,2022-07-25,Sports,RS,Porto Alegre,229.99,4,credit_card
ORD00225,C00108,2023-05-16,Food & Drink,GO,Goiânia,134.49,1,credit_card
ORD00226,C00186,2022-03-13,Fashion,SC,Florianópolis,127.29,1,credit_card
ORD00227,C00690,2022-04-12,Toys,MG,Belo Horizonte,55.4,1,voucher
ORD00228,C00057,2022-02-15,Toys,SC,Florianópolis,95.98,1,boleto
ORD00229,C00131,2022-08-30,Fashion,SP,São Paulo,48.83,1,boleto
ORD00230,C00144,2022-04-26,Books,RJ,Rio de Janeiro,391.32,2,boleto
ORD00231,C00561,2022-05-02,Fashion,PE,Recife,79.48,1,voucher
ORD00232,C00448,2022-11-13,Toys,ES,Vitória,375.44,3,debit_card
ORD00233,C00120,2023-02-20,Food & Drink,GO,Goiânia,289.92,2,voucher
ORD00234,C00335,2022-11-14,Books,RS,Porto Alegre,227.91,2,boleto
ORD00235,C00181,2022-01-22,Home & Garden,ES,Vitória,78.14,2,debit_card
ORD00236,C00099,2022-01-12,Automotive,MG,Belo Horizonte,99.4,3,boleto
ORD00237,C00494,2022-12-22,Books,PR,Curitiba,268.6,3,voucher
ORD00238,C00251,2022-12-18,Home & Garden,PE,Recife,170.26,1,credit_card
ORD00239,C00104,2022-07-26,Electronics,PR,Curitiba,412.94,1,voucher
ORD00240,C00355,2023-02-08,Sports,GO,Goiânia,224.17,3,voucher
ORD00241,C00012,2023-02-24,Fashion,RS,Porto Alegre,351.27,2,voucher
ORD00242,C00111,2022-10-22,Home & Garden,PE,Recife,366.26,4,debit_card
ORD00243,C00187,2022-08-25,Beauty,SP,São Paulo,65.65,4,voucher
ORD00244,C00072,2023-04-23,Fashion,BA,Salvador,174.02,2,credit_card
ORD00245,C00039,2022-11-14,Food & Drink,BA,Salvador,153.3,2,debit_card
ORD00246,C00157,2022-05-25,Automotive,RJ,Rio de Janeiro,345.32,1,debit_card
ORD00247,C00529,2023-03-25,Food & Drink,RS,Porto Alegre,388.38,3,debit_card
ORD00248,C00661,2023-01-30,Toys,PE,Recife,187.78,4,boleto
ORD00249,C00173,2022-12-27,Sports,GO,Goiânia,252.6,1,credit_card
ORD00250,C00015,2022-10-11,Beauty,PR,Curitiba,220.4,1,credit_card
ORD00251,C00638,2022-06-05,Toys,RS,Porto Alegre,118.85,2,credit_card
ORD00252,C00093,2023-05-26,Health,SP,São Paulo,62.01,2,credit_card
ORD00253,C00127,2022-02-28,Electronics,MG,Belo Horizonte,43.41,2,voucher
ORD00254,C00759,2022-08-30,Fashion,ES,Vitória,261.06,1,debit_card
ORD00255,C00102,2022-08-11,Fashion,BA,Salvador,271.74,4,debit_card
ORD00256,C00054,2023-01-19,Sports,RJ,Rio de Janeiro,92.71,3,voucher
ORD00257,C00038,2022-12-07,Food & Drink,SC,Florianópolis,349.23,2,debit_card
ORD00258,C00606,2022-07-12,Health,PE,Recife,21.74,2,credit_card
ORD00259,C00643,2023-06-22,Food & Drink,SP,São Paulo,26.7,4,credit_card
ORD00260,C00087,2022-01-01,Beauty,PR,Curitiba,237.22,2,voucher
ORD00261,C00163,2022-06-10,Automotive,PR,Curitiba,233.3,1,debit_card
ORD00262,C00381,2022-11-20,Toys,RS,Porto Alegre,272.02,2,boleto
ORD00263,C00558,2023-02-01,Home & Garden,SP,São Paulo,61.28,2,debit_card
ORD00264,C00147,2022-03-06,Books,PR,Curitiba,161.46,1,credit_card
ORD00265,C00096,2023-02-21,Electronics,MG,Belo Horizonte,143.5,2,debit_card
ORD00266,C00251,2022-01-03,Food & Drink,RJ,Rio de Janeiro,199.49,1,credit_card
ORD00267,C00044,2022-06-03,Beauty,RJ,Rio de Janeiro,217.75,3,voucher
ORD00268,C00518,2022-02-12,Toys,RJ,Rio de Janeiro,290.46,3,credit_card
ORD00269,C00079,2022-01-21,Books,PR,Curitiba,360.74,1,voucher
ORD00270,C00025,2022-02-20,Beauty,SC,Florianópolis,89.9,2,credit_card
ORD00271,C00114,2023-01-08,Home & Garden,GO,Goiânia,134.85,4,boleto
ORD00272,C00110,2022-01-02,Sports,PE,Recife,61.93,3,debit_card
ORD00273,C00632,2022-12-17,Books,BA,Salvador,128.68,1,boleto
ORD00274,C00103,2023-03-21,Sports,RS,Porto Alegre,201.17,3,boleto
ORD00275,C00150,2023-01-20,Health,BA,Salvador,260.62,1,boleto
ORD00276,C00092,2022-08-08,Automotive,PE,Recife,82.29,1,credit_card
ORD00277,C00142,2022-06-01,Health,PR,Curitiba,131.29,4,debit_card
ORD00278,C00406,2022-03-01,Automotive,RJ,Rio de Janeiro,310.16,2,credit_card
ORD00279,C00304,2023-03-15,Electronics,MG,Belo Horizonte,489.53,1,debit_card
ORD00280,C00125,2023-03-08,Home & Garden,BA,Salvador,225.48,2,credit_card
ORD00281,C00314,2022-03-18,Automotive,RJ,Rio de Janeiro,120.7,3,credit_card
ORD00282,C00179,2023-01-09,Automotive,SP,São Paulo,21.09,4,voucher
ORD00283,C00042,2022-10-29,Health,SC,Florianópolis,237.68,3,credit_card
ORD00284,C00035,2022-02-05,Electronics,RS,Porto Alegre,124.42,4,credit_card
ORD00285,C00142,2022-03-11,Sports,SP,São Paulo,335.27,4,credit_card
ORD00286,C00094,2023-03-04,Beauty,GO,Goiânia,353.83,2,debit_card
ORD00287,C00183,2023-01-16,Toys,SC,Florianópolis,35.15,4,boleto
ORD00288,C00795,2022-07-28,Books,RS,Porto Alegre,38.15,4,boleto
ORD00289,C00071,2023-03-29,Automotive,BA,Salvador,221.29,2,boleto
ORD00290,C00508,2022-02-24,Electronics,GO,Goiânia,449.75,4,boleto
ORD00291,C00048,2022-08-25,Home & Garden,GO,Goiânia,22.71,4,voucher
ORD00292,C00248,2022-09-05,Automotive,PR,Curitiba,50.78,2,boleto
ORD00293,C00507,2023-04-01,Electronics,PR,Curitiba,466.25,2,voucher
ORD00294,C00015,2023-05-24,Electronics,BA,Salvador,162.82,2,credit_card
ORD00295,C00139,2022-12-07,Automotive,ES,Vitória,211.24,3,voucher
ORD00296,C00731,2023-02-11,Fashion,BA,Salvador,77.28,2,debit_card
ORD00297,C00791,2022-05-23,Beauty,RS,Porto Alegre,95.28,3,credit_card
ORD00298,C00248,2022-02-11,Home & Garden,GO,Goiânia,220.01,2,boleto
ORD00299,C00549,2022-03-08,Sports,ES,Vitória,139.17,3,boleto
ORD00300,C00090,2022-05-10,Sports,RJ,Rio de Janeiro,261.77,1,boleto
ORD00301,C00635,2022-09-10,Sports,SP,São Paulo,248.41,2,boleto
ORD00302,C00128,2023-01-16,Home & Garden,ES,Vitória,332.7,1,credit_card
ORD00303,C00028,2023-04-27,Fashion,RS,Porto Alegre,67.04,4,credit_card
ORD00304,C00759,2022-01-12,Sports,RJ,Rio de Janeiro,121.93,3,boleto
ORD00305,C00344,2022-02-12,Books,MG,Belo Horizonte,163.79,1,debit_card
ORD00306,C00024,2022-12-11,Fashion,GO,Goiânia,129.48,3,debit_card
ORD00307,C00030,2022-04-09,Home & Garden,BA,Salvador,281.48,4,credit_card
ORD00308,C00360,2022-09-17,Food & Drink,SP,São Paulo,104.57,4,voucher
ORD00309,C00349,2022-08-09,Toys,BA,Salvador,293.86,1,voucher
ORD00310,C00148,2023-04-28,Toys,BA,Salvador,297.44,2,credit_card
ORD00311,C00100,2023-05-25,Beauty,SC,Florianópolis,319.28,1,boleto
ORD00312,C00055,2023-04-16,Books,PR,Curitiba,97.85,1,boleto
ORD00313,C00356,2022-08-30,Beauty,RJ,Rio de Janeiro,39.88,4,voucher
ORD00314,C00044,2023-04-10,Beauty,RS,Porto Alegre,117.42,1,boleto
ORD00315,C00061,2023-05-25,Sports,RJ,Rio de Janeiro,198.27,1,credit_card
ORD00316,C00632,2023-03-12,Health,PR,Curitiba,383.15,1,credit_card
ORD00317,C00545,2022-07-11,Automotive,ES,Vitória,279.93,4,voucher
ORD00318,C00112,2022-01-29,Fashion,PE,Recife,112.43,4,credit_card
ORD00319,C00365,2022-10-11,Fashion,GO,Goiânia,359.62,4,credit_card
ORD00320,C00668,2022-03-20,Books,GO,Goiânia,354.75,1,voucher
ORD00321,C00178,2023-03-25,Food & Drink,GO,Goiânia,47.64,3,credit_card
ORD00322,C00029,2023-03-11,Food & Drink,SP,São Paulo,383.25,1,voucher
ORD00323,C00790,2023-01-01,Sports,MG,Belo Horizonte,269.63,4,debit_card
ORD00324,C00165,2023-05-06,Beauty,SC,Florianópolis,309.28,4,boleto
ORD00325,C00762,2023-01-03,Food & Drink,GO,Goiânia,255.5,2,debit_card
ORD00326,C00105,2023-01-17,Automotive,ES,Vitória,384.53,3,boleto
ORD00327,C00129,2023-01-05,Sports,GO,Goiânia,58.87,1,credit_card
ORD00328,C00498,2022-06-09,Fashion,PE,Recife,145.23,4,boleto
ORD00329,C00039,2022-07-02,Food & Drink,PE,Recife,250.98,2,voucher
ORD00330,C00714,2023-02-18,Home & Garden,SP,São Paulo,263.64,3,boleto
